//Data Set,Label,Longitude,Latitude,Level,Country,Province,City,District,Township,Neighborhood,Confirmed,Suspected,Healed,Dead,Increased Confirmed,Increased Suspected,Increased Healed,Increased Dead,Comments,Time
"New Coronavirus Pneumonia",,104.138559,36.544756,"City","China","Gansu Province","白银",,,,4,0,4,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,102.188043,38.520089,"City","China","Gansu Province","金昌",,,,1,0,1,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,104.921841,33.400684,"City","China","Gansu Province","陇南",,,,4,0,4,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,103.826308,36.059421,"Province","China","Gansu Province",,,,,91,0,82,2,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,113.751765,23.020536,"City","China","Guangdong Province","东莞",,,,98,0,55,1,1,0,12,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,113.392782,22.517645,"City","China","Guangdong Province","中山",,,,66,0,58,0,0,0,3,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,113.121416,23.021548,"City","China","Guangdong Province","佛山",,,,84,0,47,0,0,0,1,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,113.264434,23.129162,"City","China","Guangdong Province","广州",,,,346,0,240,1,0,0,10,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,114.416196,23.111847,"City","China","Guangdong Province","惠州",,,,62,0,54,0,0,0,2,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,116.372831,23.549993,"City","China","Guangdong Province","揭阳",,,,8,0,5,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,116.122238,24.288615,"City","China","Guangdong Province","梅州",,,,16,0,12,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,116.681972,23.354091,"City","China","Guangdong Province","汕头",,,,25,0,22,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,115.375278,22.786211,"City","China","Guangdong Province","汕尾",,,,5,0,5,0,0,0,1,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,113.081901,22.578738,"City","China","Guangdong Province","江门",,,,23,0,13,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,114.700447,23.743538,"City","China","Guangdong Province","河源",,,,4,0,4,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,114.057868,22.543099,"City","China","Guangdong Province","深圳",,,,417,0,281,3,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,113.056031,23.681763,"City","China","Guangdong Province","清远",,,,12,0,12,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,110.359377,21.270707,"City","China","Guangdong Province","湛江",,,,22,0,17,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,116.622603,23.65695,"City","China","Guangdong Province","潮州",,,,5,0,5,0,0,0,1,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,113.576726,22.270715,"City","China","Guangdong Province","珠海",,,,98,0,63,1,0,0,2,0,,"2020-02-28 18:38:00"
