gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,owner,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
2133,6,115.7729,38.699383,高阳县,,130628,0312,130628000000,,,高阳,,,,,,,1208,2,100,1002,1208,2133,,,,
2134,6,115.855764,39.042028,容城县,,130629,0312,130629000000,,,容城,,,,,,,1208,2,100,1002,1208,2134,,,,
2135,6,114.688199,39.359239,涞源县,,130630,0312,130630000000,,,涞源,,,,,,,1208,2,100,1002,1208,2135,,,,
2136,6,115.148206,38.694905,望都县,,130631,0312,130631000000,,,望都,,,,,,,1208,2,100,1002,1208,2136,,,,
2137,6,115.929717,38.934679,安新县,,130632,0312,130632000000,,,安新,,,,,,,1208,2,100,1002,1208,2137,,,,
2138,6,115.491255,39.348316,易县,,130633,0312,130633000000,,,,,,,,,,1208,2,100,1002,1208,2138,,,,
2139,6,114.738906,38.621574,曲阳县,,130634,0312,130634000000,,,曲阳,,,,,,,1208,2,100,1002,1208,2139,,,,
2140,6,115.577961,38.487582,蠡县,,130635,0312,130635000000,,,,,,,,,,1208,2,100,1002,1208,2140,,,,
2141,6,115.129113,38.836558,顺平县,,130636,0312,130636000000,,,顺平,,,,,,,1208,2,100,1002,1208,2141,,,,
2142,6,115.458112,38.456615,博野县,,130637,0312,130637000000,,,博野,,,,,,,1208,2,100,1002,1208,2142,,,,
2143,6,116.102448,38.993483,雄县,,130638,0312,130638000000,,,,,,,,,,1208,2,100,1002,1208,2143,,,,
2144,6,115.458488,38.872991,保定高新技术产业开发区,,130600,0312,130671000000,,,,,,,,,,1208,2,100,1002,1208,2144,,,,
2145,6,116.038895,39.127138,保定白沟新城,,130684,0312,130672000000,,,,,,,,,,1208,2,100,1002,1208,2145,,,,
2146,6,115.968429,39.484217,涿州市,,130681,0312,130681000000,,,涿州,,,,,,,1208,2,100,1002,1208,2146,,,,
2147,6,114.984111,38.515557,定州市,,130682,0312,130682000000,,,定州,,,,,,,1208,2,100,1002,1208,2147,,,,
2148,6,115.320396,38.417707,安国市,,130683,0312,130683000000,,,安国,,,,,,,1208,2,100,1002,1208,2148,,,,
2149,6,115.867857,39.325618,高碑店市,,130684,0312,130684000000,,,高碑店,,,,,,,1208,2,100,1002,1208,2149,,,,
2150,6,114.888233,40.787162,桥东区,,130702,0313,130702000000,,,桥东,,,,,,,1209,2,100,1002,1209,2150,,,,
2151,6,114.863272,40.818225,桥西区,,130703,0313,130703000000,,,桥西,,,,,,,1209,2,100,1002,1209,2151,,,,
2152,6,115.092896,40.607184,宣化区,,130705,0313,130705000000,,,宣化,,,,,,,1209,2,100,1002,1209,2152,,,,
2153,6,115.280927,40.501322,下花园区,,130706,0313,130706000000,,,下花园,,,,,,,1209,2,100,1002,1209,2153,,,,
2154,6,114.734232,40.765442,万全区,,130708,0313,130708000000,,,万全,,,,,,,1209,2,100,1002,1209,2154,,,,
2155,6,115.27619,40.973015,崇礼区,,130709,0313,130709000000,,,崇礼,,,,,,,1209,2,100,1002,1209,2155,,,,
2156,6,114.713726,41.156793,张北县,,130722,0313,130722000000,,,张北,,,,,,,1209,2,100,1002,1209,2156,,,,
2157,6,114.594164,41.850506,康保县,,130723,0313,130723000000,,,康保,,,,,,,1209,2,100,1002,1209,2157,,,,
2158,6,115.682274,41.667669,沽源县,,130724,0313,130724000000,,,沽源,,,,,,,1209,2,100,1002,1209,2158,,,,
2159,6,113.962956,41.074619,尚义县,,130725,0313,130725000000,,,尚义,,,,,,,1209,2,100,1002,1209,2159,,,,
2160,6,114.582914,39.839851,蔚县,,130726,0313,130726000000,,,,,,,,,,1209,2,100,1002,1209,2160,,,,
2161,6,114.143717,40.102431,阳原县,,130727,0313,130727000000,,,阳原,,,,,,,1209,2,100,1002,1209,2161,,,,
2162,6,114.379147,40.672631,怀安县,,130728,0313,130728000000,,,怀安,,,,,,,1209,2,100,1002,1209,2162,,,,
2163,6,115.511554,40.414123,怀来县,,130730,0313,130730000000,,,怀来,,,,,,,1209,2,100,1002,1209,2163,,,,
2164,6,115.198935,40.378275,涿鹿县,,130731,0313,130731000000,,,涿鹿,,,,,,,1209,2,100,1002,1209,2164,,,,
2165,6,115.825291,40.91142,赤城县,,130732,0313,130732000000,,,赤城,,,,,,,1209,2,100,1002,1209,2165,,,,
2166,6,114.891423,40.824635,张家口经济开发区,,130702,0313,130771000000,,,,,,,,,,1209,2,100,1002,1209,2166,,,,
2167,6,114.937626,41.404006,张家口市察北管理区,,130722,0313,130772000000,,,,,,,,,,1209,2,100,1002,1209,2167,,,,
2168,6,115.810194,41.869618,张家口市塞北管理区,,130724,0313,130773000000,,,,,,,,,,1209,2,100,1002,1209,2168,,,,
2169,6,117.937063,40.973093,双桥区,,130802,0314,130802000000,,,双桥,,,,,,,1210,2,100,1002,1210,2169,,,,
