name,rgba,rgb,value,SRGB,HSB,AdobeRGB,AppleRGB,EciRGB,SRGBLinear,AdobeRGBLinear,AppleRGBLinear,CalculatedCMYK,EciCMYK,AdobeCMYK,XYZ,CieLab,Lchab,CieLuv,Lchuv,PaletteIndex
蟹壳青,0xbbcdc5ff,"#BBCDC5",-4469307,187 205 197 100%,153 9% 80%,191 204 196,174 195 184,199 210 203,127 156 142,135 156 143,129 157 142,9 0 4 20,29 9 23 0,28 12 21 0,0.531668 0.582066 0.464957,80.85 -7.46 1.8,80.85 7.68 166.44,80.85 -10.1 3.64,80.85 10.74 160.17,-1
花白,0xc2ccd0ff,"#C2CCD0",-4010800,194 204 208 100%,197 7% 82%,196 203 207,182 193 198,203 209 213,138 154 161,142 154 161,139 154 161,7 2 0 18,26 11 16 0,25 14 14 0,0.558015 0.591142 0.51662,81.35 -2.96 -3.24,81.35 4.39 227.59,81.35 -6.12 -3.5,81.35 7.05 209.79,-1
老银,0xbacac6ff,"#BACAC6",-4535610,186 202 198 100%,165 8% 79%,189 201 197,173 191 186,198 207 204,125 151 144,132 151 144,127 151 144,8 0 2 21,29 10 22 0,29 13 20 0,0.522347 0.566887 0.467495,80.0 -6.21 0.04,80.0 6.21 179.67,80.0 -9.15 1.23,80.0 9.23 172.37,-1
灰色,0x808080ff,"#808080",-8355712,128 128 128 100%,0 0% 50%,127 127 127,109 109 109,137 137 137,55 55 55,55 55 55,55 55 55,0 0 0 50,52 32 43 0,51 44 41 6,0.208137 0.215861 0.17813,53.59 0.0 0.0,53.59 0.0 157.38,53.59 0.0 0.0,53.59 0.0 150.97,-1
苍色,0x75878aff,"#75878A",-9074806,117 135 138 100%,189 15% 54%,122 134 137,99 116 119,132 143 146,45 62 65,50 62 65,46 62 65,15 2 0 46,57 27 39 0,58 39 38 4,0.207231 0.228673 0.207514,54.94 -6.26 -3.94,54.94 7.39 212.17,54.94 -10.41 -3.53,54.94 10.99 198.75,-1
水色,0x88ada6ff,"#88ADA6",-7819866,136 173 166 100%,169 21% 68%,146 171 165,120 158 149,158 180 174,63 107 97,75 107 98,66 108 97,21 0 4 32,49 14 35 0,50 20 33 0,0.322835 0.377469 0.316341,67.83 -14.16 -0.75,67.83 14.18 183.02,67.83 -20.22 1.65,67.83 20.28 175.33,-1
黝,0x6b6882ff,"#6B6882",-9738110,107 104 130 100%,247 20% 51%,106 104 128,87 84 112,115 111 137,37 35 57,37 35 56,37 35 58,18 20 0 49,63 45 33 0,63 60 30 8,0.14936 0.145484 0.174914,45.01 5.56 -14.06,45.01 15.12 291.56,45.01 0.0 -17.36,45.01 17.36 270.0,-1
乌色,0x725e82ff,"#725E82",-9281918,114 94 130 100%,273 28% 51%,108 94 128,93 74 112,117 100 137,43 29 57,39 29 56,42 28 58,12 28 0 49,61 54 31 0,61 70 25 7,0.148419 0.131214 0.172637,42.95 13.89 -17.1,42.95 22.03 309.08,42.95 9.03 -22.23,42.95 24.0 292.11,-1
玄青,0x3d3b4fff,"#3D3B4F",-12764337,61 59 79 100%,246 25% 31%,63 61 79,46 44 62,66 62 85,12 11 20,12 11 20,12 11 20,23 25 0 69,82 64 53 12,80 80 42 35,0.048377 0.046475 0.060736,25.71 4.65 -11.91,25.71 12.78 291.31,25.71 -0.19 -12.43,25.71 12.43 269.12,-1
乌黑,0x392f41ff,"#392F41",-13029567,57 47 65 100%,273 28% 25%,57 51 66,43 35 50,58 49 69,10 7 13,10 7 13,10 7 14,12 28 0 75,84 73 60 19,79 88 45 44,0.036351 0.032686 0.041082,21.09 7.79 -9.63,21.09 12.38 308.97,21.09 4.0 -9.71,21.09 10.5 292.37,-1
黎,0x75664dff,"#75664D",-9083315,117 102 77 100%,38 34% 46%,112 102 79,97 83 59,120 111 86,45 34 19,42 34 20,45 34 18,0 13 34 54,56 43 67 0,48 51 68 21,0.139354 0.13933 0.068382,44.14 3.18 16.49,44.14 16.79 79.08,44.14 11.37 15.5,44.14 19.22 53.75,-1
黧,0x5d513cff,"#5D513C",-10661572,93 81 60 100%,38 35% 36%,90 82 63,74 64 45,96 89 66,28 21 12,26 21 12,28 21 11,0 13 35 64,66 52 73 2,55 58 73 33,0.085883 0.086081 0.041786,35.22 2.53 14.32,35.22 14.54 79.99,35.22 8.92 12.62,35.22 15.46 54.75,-1
黝黑,0x665757ff,"#665757",-10070185,102 87 87 100%,0 15% 40%,98 88 88,82 69 69,105 95 95,34 24 24,31 24 24,33 24 24,0 15 15 60,64 52 58 0,56 62 53 25,0.108277 0.103665 0.079172,38.49 6.34 2.39,38.49 6.78 20.67,38.49 9.36 1.39,38.49 9.46 8.44,-1
缁色,0x493131ff,"#493131",-11980495,73 49 49 100%,0 33% 29%,69 52 52,56 36 37,71 52 52,17 8 8,14 8 8,16 8 8,0 33 33 71,75 73 75 12,58 80 61 51,0.045275 0.038704 0.025845,23.24 11.25 4.61,23.24 12.16 22.27,23.24 14.6 2.16,23.24 14.76 8.44,-1
煤黑,0x312520ff,"#312520",-13556448,49 37 32 100%,18 35% 19%,50 42 37,36 28 24,47 38 32,8 5 4,7 5 4,8 5 4,0 24 35 81,83 76 82 32,69 78 65 64,0.022584 0.020972 0.01254,15.99 5.17 5.62,15.99 7.64 47.35,15.99 6.63 3.23,15.99 7.37 26.0,-1
漆黑,0x161823ff,"#161823",-15329245,22 24 35 100%,231 37% 14%,29 30 39,17 19 27,20 20 34,2 2 4,2 2 4,2 2 4,37 31 0 86,92 77 65 58,95 86 48 68,0.009421 0.009352 0.013002,8.44 1.55 -8.0,8.44 8.15 280.95,8.44 -1.04 -4.61,8.44 4.73 257.31,-1
黑色,0x000000ff,"#000000",-16777216,0 0 0 100%,0 0% 0%,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0 100,99 98 88 90,97 70 45 87,0.0 0.0 0.0,0.0 0.0 0.0,0.0 0.0 0.0,0.0 0.0 0.0,0.0 0.0 0.0,-1
