# https://github.com/mahavivo/scripta-sinica
# 汉语古典文本数据库（殆知阁）
"汉字","排名","频次"
枯,1662,80314
输,1663,80137
卑,1664,80058
针,1665,80056
塘,1666,80015
湾,1667,79929
轩,1668,79837
镜,1669,79787
趋,1670,79781
驱,1671,79716
苑,1672,79679
華,1673,79638
風,1674,79620
薛,1675,79483
應,1676,79410
筋,1677,79360
暑,1678,79304
慕,1679,79250
凝,1680,79006
浸,1681,78865
绕,1682,78752
课,1683,78752
旬,1684,78718
痴,1685,78647
冯,1686,78603
辱,1687,78516
畜,1688,78481
徽,1689,78378
書,1690,78243
遮,1691,78128
苗,1692,78101
陕,1693,78001
辩,1694,77971
肆,1695,77934
復,1696,77841
頭,1697,77802
弄,1698,77783
欺,1699,77759
赦,1700,77570
將,1701,77344
