# 以[知乎](https://www.zhihu.com/)回答爲語料，總字數爲六億字，剔除非《通用規範漢字表》中的漢字後，統計字頻結果，並按照頻數降序排列。
# 本字頻表反映了簡體中文社區公衆用語習慣。有以下三個主要特點：一、其具有非官方性質，宣傳用語較少，貼近普通人生活。二、其具有社交性質，社交用語較多，貼近社交媒體生活。三、其語料質量較高，語言偏書面，且反映了一定的科學、文化、藝術基礎。
# 制作：https://github.com/forfudan/chinese-characters-frequency
"汉字","频次","频率","累计频率"
懿,1613,0.000003321704402484872,0.9977554359898477
敖,1609,0.00000331346706980667,0.9977587494569176
荫,1607,0.000003309348403467569,0.997762058805321
跆,1599,0.000003292873738111166,0.9977653516790591
尧,1599,0.000003292873738111166,0.9977686445527972
遏,1597,0.000003288755071772065,0.997771933307869
潦,1595,0.000003284636405432964,0.9977752179442744
桔,1594,0.0000032825770722634137,0.9977785005213466
芋,1594,0.0000032825770722634137,0.9977817830984189
闵,1585,0.0000032640430737374594,0.9977850471414926
阮,1583,0.0000032599244073983588,0.9977883070659
咐,1582,0.000003257865074228808,0.9977915649309743
霖,1581,0.0000032558057410592578,0.9977948207367153
寅,1581,0.0000032558057410592578,0.9977980765424563
茸,1580,0.000003253746407889707,0.9978013302888642
泵,1579,0.0000032516870747201568,0.9978045819759389
苔,1574,0.0000032413904088724045,0.9978078233663478
蜕,1574,0.0000032413904088724045,0.9978110647567566
咎,1573,0.000003239331075702854,0.9978143040878323
瞩,1572,0.0000032372717425333035,0.9978175413595749
舶,1572,0.0000032372717425333035,0.9978207786313175
聆,1572,0.0000032372717425333035,0.99782401590306
庶,1569,0.000003231093743024652,0.997827246996803
漾,1569,0.000003231093743024652,0.997830478090546
懊,1568,0.000003229034409855102,0.9978337071249559
缉,1565,0.0000032228564103464506,0.9978369299813662
箍,1565,0.0000032228564103464506,0.9978401528377765
遁,1563,0.0000032187377440073496,0.9978433715755205
嘈,1563,0.0000032187377440073496,0.9978465903132645
镶,1561,0.0000032146190776682486,0.9978498049323422
皈,1560,0.0000032125597444986983,0.9978530174920867
拭,1560,0.0000032125597444986983,0.9978562300518311
殆,1559,0.000003210500411329148,0.9978594405522424
夭,1558,0.0000032084410781595973,0.9978626489933206
阱,1555,0.000003202263078650946,0.9978658512563993
锣,1553,0.000003198144412311845,0.9978690494008116
