# 来源：本词表来自BCC语料库汉语部分的博客（blog）频道。
# 说明：未去除字母词。存在部分数量词残留。
# 制作：北京语言大学・信息科学学院・大数据与教育技术研究所 2015年10月
# 引用：北京语言大学BCC语料库 http://bcc.blcu.edu.cn
# 吾匣：截取频数大于等于200的数据
"Word","Rank","Count"
突出,1237,916767
应当,1238,915947
上述,1239,915012
掉,1240,914907
较大,1241,914721
决赛,1242,913106
型,1243,913046
众多,1244,912928
收费,1245,911600
生命,1246,910912
令人,1247,910652
节,1248,910241
工,1249,908981
原则,1250,908574
手段,1251,908519
劳动,1252,908286
除,1253,907913
获悉,1254,907181
银,1255,905509
表明,1256,904044
年轻,1257,903795
厂,1258,903447
考生,1259,903260
显,1260,903222
利率,1261,902234
损失,1262,902132
气,1263,899499
跌,1264,899265
确实,1265,898492
如今,1266,898377
法,1267,897622
承担,1269,896105
优秀,1270,893928
创,1271,893883
丰富,1272,891986
房子,1273,891392
光,1274,890960
农业,1275,890783
表演,1276,890457
差,1277,890294
运,1278,889269
公共,1279,888528
当前,1280,888205
回到,1282,887974
×,1283,887533
领先,1284,887095
尤其是,1285,886607
既,1286,886315
一份,1287,885787
实际上,1288,883832
制,1289,883795
住宅,1290,882794
态度,1293,877947
星,1294,877414
国务院,1295,877324
相,1296,874317
限制,1297,872968
主题,1298,871963
指导,1299,871502
家里,1300,871435
药品,1301,870704
地位,1302,869958
国外,1303,869545
讨论,1304,869101
世界杯,1305,868318
违法,1306,868306
理解,1307,867869
实,1309,867522
教授,1310,867087
进口,1311,866346
全省,1312,865950
给予,1313,862656
确保,1314,861592
特色,1315,861437
材料,1316,860882
程序,1317,858448
难以,1318,858359
民族,1319,855274
批准,1320,855274
教练,1321,854927
导演,1322,853725
流,1323,853554
包,1324,851862
镇,1325,851708
房屋,1326,851631
风,1327,851596
铁路,1328,851288
球迷,1329,850938
队伍,1330,850721
业绩,1331,849719
有着,1332,849146
广,1333,847992
产,1334,847915
司机,1335,845936
一旦,1336,845745
时期,1337,845649
人数,1338,843437
知识,1339,843250
为主,1340,841098
卫生,1341,840879
家长,1342,840447
同期,1343,840203
逐渐,1344,837409
成交,1345,837259
胜利,1346,836658
受伤,1347,836377
妻子,1348,836265
配合,1349,835977
风格,1350,835146
先后,1351,835088
英,1352,834791
提前,1353,833983
紧张,1354,833458
法院,1355,833265
当年,1356,832588
现实,1357,832586
成都,1358,832313
持有,1359,831041
抢,1360,830465
职工,1361,829100
逐步,1362,828789
笔,1363,828188
核,1364,827957
注册,1365,827610
势,1366,827302
驻,1367,826836
印度,1368,826721
定,1369,826666
律师,1370,825829
认真,1371,825693
小区,1372,825660
尼,1373,825070
协调,1374,824893
精彩,1375,824690
顺利,1376,823963
它们,1377,823694
绝对,1378,823381
铜,1379,822679
很难,1380,822560
评价,1381,822493
重庆,1382,821840
多次,1383,821779
普遍,1384,820109
先进,1385,819597
担任,1387,817765
改善,1388,817274
维护,1389,817019
不再,1390,816822
清楚,1391,816771
最佳,1392,815943
照片,1393,815072
儿童,1394,814112
明星,1395,813073
税,1396,812949
用于,1397,812792
唯,1398,810781
纷纷,1399,810244
自主,1415,799883
特殊,1416,799847
主场,1417,799293
句,1418,798975
制作,1419,798772
身份,1421,797555
董事会,1422,797467
脸,1423,797070
设立,1424,796874
挑战,1425,796845
演出,1426,795952
大部分,1427,795575
金额,1428,794733
更好,1429,793737
传,1430,793211
北京市,1431,793129
显得,1432,793092
蓝,1433,792235
安,1434,791259
不得,1435,790638
剧,1436,790390
高级,1437,789945
玩,1438,789448
总是,1439,788255
欢迎,1441,787017
倒,1442,786724
内地,1443,785815
一批,1444,784788
环,1445,783276
明年,1446,782955
变成,1447,782912
增强,1448,782457
具备,1449,781285
凌晨,1453,778273
看来,1454,778121
发出,1455,777955
大会,1456,777695
方便,1457,777384
调,1458,777287
排名,1459,777237
办公室,1460,776301
奥运,1461,775495
成长,1462,773475
感受,1463,771708
联合国,1464,769964
直播员,1465,769286
架,1466,769155
商务,1467,767099
查,1468,766300
依法,1469,765215
儿,1470,765136
季度,1471,764715
存,1472,763232
财务,1473,763232
天津,1474,763113
易,1475,761169
打击,1476,761001
眼,1477,759740
配置,1478,759408
天气,1479,759293
女孩,1480,759151
和平,1481,757851
至今,1482,757538
视频,1483,757109
第一个,1484,756694
玩家,1485,755657
当中,1486,754956
显然,1487,754629
角度,1488,753759
并不是,1489,753488
半场,1490,753307
游客,1491,752425
遇到,1492,752222
性能,1493,751097
宝,1494,751015
理论,1495,750538
体制,1496,748497
京,1497,747510
谈,1498,747411
充满,1499,747264
主动,1500,746643
一个人,1501,746638
投票,1502,746635
纳,1503,745833
走势,1504,745310
培养,1505,745150
报名,1506,745116
本身,1507,744819
地产,1508,743391
患者,1509,743230
假,1510,743039
负,1511,742651
青年,1512,742199
人口,1513,742049
业内,1514,741884
感,1515,741231
所谓,1517,740709
战争,1518,740271
总经理,1519,739353
满意,1520,739053
经理,1523,738447
半年,1524,736591
对象,1525,736232
距离,1526,735412
回家,1527,734911
甲,1528,734779
那样,1529,734552
歌,1530,734210
布,1531,734096
前往,1532,733799
事实,1533,733331
低于,1534,733025
副,1535,732875
组合,1536,732507
角色,1537,732285
强烈,1538,731732
最低,1539,731143
财政,1540,730838
体,1541,730469
些,1542,730249
